palavra_chave,intencao,problema_real,publico,dificuldade_1a5,potencial_1a5,tipo_de_conteudo,pagina_alvo,cta_recomendado,status
em que dia meu salario acaba,PROBLEMA,Nao sabe quanto tempo a renda cobre,Assalariado apertado,2,5,Ferramenta,/site-dinheiro/,Fazer o diagnostico,PUBLICADA
meu salario acaba antes do fim do mes,PROBLEMA,Falta dinheiro na ultima semana,Assalariado apertado,3,5,Ferramenta,/site-dinheiro/,Fazer o diagnostico,PUBLICADA
o salario nao dura ate o fim do mes o que fazer,PROBLEMA,Deficit mensal recorrente,Assalariado apertado,3,4,Artigo + ferramenta,/site-dinheiro/,Fazer o diagnostico,PUBLICADA
por que meu salario nunca sobra,PROBLEMA,Nao identifica o vilao do orcamento,Classe C,3,4,Artigo,/site-dinheiro/,Fazer o diagnostico,PUBLICADA
para onde vai meu dinheiro,PROBLEMA,Falta visibilidade dos gastos,Geral,3,4,Ferramenta,/site-dinheiro/,Fazer o diagnostico,PUBLICADA
calculadora de gastos mensais,TRANSACAO,Quer uma ferramenta pronta,Geral,3,4,Ferramenta,/site-dinheiro/,Fazer o diagnostico,PUBLICADA
quanto minha familia gasta por mes,INFORMACAO,Quer se comparar,Familia,3,3,Ferramenta,/site-dinheiro/,Fazer o diagnostico,PUBLICADA
quanto gasto por pessoa por mes,INFORMACAO,Nao sabe o custo per capita,Familia,2,3,Ferramenta,/site-dinheiro/,Fazer o diagnostico,PUBLICADA
custo de vida por pessoa no brasil,INFORMACAO,Quer referencia,Geral,3,2,Artigo,/site-dinheiro/quanto-precisa-ganhar/,Calcular o meu,PUBLICADA
quanto custa manter uma familia de 4 pessoas,INFORMACAO,Planejamento familiar,Familia,3,3,Artigo + tabela,/site-dinheiro/quanto-precisa-ganhar/,Calcular o meu,PUBLICADA
quanto custa manter uma familia de 3 pessoas,INFORMACAO,Planejamento familiar,Familia,2,3,Artigo + tabela,/site-dinheiro/quanto-precisa-ganhar/,Calcular o meu,PUBLICADA
